Optimising function: ackley (dim=100, swarm size=30)
Step 700,    w=0.69,    min_err=,    1.53130e+01
Step 750,    w=0.69,    min_err=,    1.49662e+01
Step 800,    w=0.68,    min_err=,    1.49273e+01
Step 850,    w=0.68,    min_err=,    1.45241e+01
Step 900,    w=0.68,    min_err=,    1.43233e+01
Step 950,    w=0.68,    min_err=,    1.42642e+01
Step 1000,    w=0.67,    min_err=,    1.41012e+01
Step 1050,    w=0.67,    min_err=,    1.39891e+01
Step 1100,    w=0.67,    min_err=,    1.37871e+01
Step 1150,    w=0.66,    min_err=,    1.35834e+01
Step 1200,    w=0.66,    min_err=,    1.34534e+01
Step 1250,    w=0.66,    min_err=,    1.33966e+01
Step 1300,    w=0.66,    min_err=,    1.33195e+01
Step 1350,    w=0.65,    min_err=,    1.32568e+01
Step 1400,    w=0.65,    min_err=,    1.30852e+01
Step 1450,    w=0.65,    min_err=,    1.28414e+01
Step 1500,    w=0.64,    min_err=,    1.27966e+01
Step 1550,    w=0.64,    min_err=,    1.26834e+01
Step 1600,    w=0.64,    min_err=,    1.25258e+01
Step 1650,    w=0.64,    min_err=,    1.24444e+01
Step 1700,    w=0.63,    min_err=,    1.23485e+01
Step 1750,    w=0.63,    min_err=,    1.21541e+01
Step 1800,    w=0.63,    min_err=,    1.16722e+01
Step 1850,    w=0.62,    min_err=,    1.16186e+01
Step 1900,    w=0.62,    min_err=,    1.14992e+01
Step 1950,    w=0.62,    min_err=,    1.13576e+01
Step 2000,    w=0.62,    min_err=,    1.12616e+01
Step 2050,    w=0.61,    min_err=,    1.12426e+01
Step 2100,    w=0.61,    min_err=,    1.12064e+01
Step 2150,    w=0.61,    min_err=,    1.11828e+01
Step 2200,    w=0.60,    min_err=,    1.11023e+01
Step 2250,    w=0.60,    min_err=,    1.11023e+01
Step 2300,    w=0.60,    min_err=,    1.09864e+01
Step 2350,    w=0.60,    min_err=,    1.09796e+01
Step 2400,    w=0.59,    min_err=,    1.08856e+01
Step 2450,    w=0.59,    min_err=,    1.08225e+01
Step 2500,    w=0.59,    min_err=,    1.08059e+01
Step 2550,    w=0.58,    min_err=,    1.08012e+01
Step 2600,    w=0.58,    min_err=,    1.08012e+01
Step 2650,    w=0.58,    min_err=,    1.07439e+01
Step 2700,    w=0.58,    min_err=,    1.06907e+01
Step 2750,    w=0.57,    min_err=,    1.06343e+01
Step 2800,    w=0.57,    min_err=,    1.05445e+01
Step 2850,    w=0.57,    min_err=,    1.05419e+01
Step 2900,    w=0.56,    min_err=,    1.04732e+01
Step 2950,    w=0.56,    min_err=,    1.04551e+01
Step 3000,    w=0.56,    min_err=,    1.04474e+01
Step 3050,    w=0.56,    min_err=,    1.03796e+01
Step 3100,    w=0.55,    min_err=,    1.03214e+01
Step 3150,    w=0.55,    min_err=,    1.03187e+01
Step 3200,    w=0.55,    min_err=,    1.03080e+01
Step 3250,    w=0.54,    min_err=,    1.02946e+01
Step 3300,    w=0.54,    min_err=,    1.02405e+01
Step 3350,    w=0.54,    min_err=,    1.02269e+01
Step 3400,    w=0.53,    min_err=,    1.02132e+01
Step 3450,    w=0.53,    min_err=,    1.02023e+01
Step 3500,    w=0.53,    min_err=,    1.01968e+01
Step 3550,    w=0.53,    min_err=,    1.01775e+01
Step 3600,    w=0.52,    min_err=,    1.01720e+01
Step 3650,    w=0.52,    min_err=,    1.01525e+01
Step 3700,    w=0.52,    min_err=,    1.01302e+01
Step 3750,    w=0.51,    min_err=,    1.01163e+01
Step 3800,    w=0.51,    min_err=,    1.00994e+01
Step 3850,    w=0.51,    min_err=,    1.00909e+01
Step 3900,    w=0.51,    min_err=,    1.00740e+01
Step 3950,    w=0.50,    min_err=,    1.00626e+01
Step 4000,    w=0.50,    min_err=,    1.00626e+01
Step 4050,    w=0.50,    min_err=,    1.00626e+01
Step 4100,    w=0.49,    min_err=,    1.00512e+01
Step 4150,    w=0.49,    min_err=,    1.00512e+01
Step 4200,    w=0.49,    min_err=,    1.00341e+01
Step 4250,    w=0.49,    min_err=,    1.00341e+01
Step 4300,    w=0.48,    min_err=,    1.00341e+01
Step 4350,    w=0.48,    min_err=,    1.00312e+01
Step 4400,    w=0.48,    min_err=,    1.00312e+01
Step 4450,    w=0.47,    min_err=,    1.00312e+01
Step 4500,    w=0.47,    min_err=,    1.00312e+01
Step 4550,    w=0.47,    min_err=,    1.00312e+01
Step 4600,    w=0.47,    min_err=,    1.00312e+01
Step 4650,    w=0.46,    min_err=,    1.00284e+01
Step 4700,    w=0.46,    min_err=,    1.00284e+01
Step 4750,    w=0.46,    min_err=,    1.00284e+01
Step 4800,    w=0.45,    min_err=,    1.00284e+01
Step 4850,    w=0.45,    min_err=,    1.00284e+01
Step 4900,    w=0.45,    min_err=,    1.00284e+01
Step 4950,    w=0.45,    min_err=,    1.00284e+01
Step 5000,    w=0.44,    min_err=,    1.00255e+01
Step 5050,    w=0.44,    min_err=,    1.00255e+01
Step 5100,    w=0.44,    min_err=,    1.00255e+01
Step 5150,    w=0.43,    min_err=,    1.00255e+01
Step 5200,    w=0.43,    min_err=,    1.00255e+01
Step 5250,    w=0.43,    min_err=,    1.00255e+01
Step 5300,    w=0.43,    min_err=,    1.00255e+01
Step 5350,    w=0.42,    min_err=,    1.00255e+01
Step 5400,    w=0.42,    min_err=,    1.00255e+01
Step 5450,    w=0.42,    min_err=,    1.00226e+01
Step 5500,    w=0.41,    min_err=,    1.00226e+01
Step 5550,    w=0.41,    min_err=,    1.00226e+01
Step 5600,    w=0.41,    min_err=,    1.00226e+01
Step 5650,    w=0.41,    min_err=,    1.00198e+01
Step 5700,    w=0.40,    min_err=,    1.00198e+01
Step 5750,    w=0.40,    min_err=,    1.00198e+01
Step 5800,    w=0.40,    min_err=,    1.00198e+01
Step 5850,    w=0.39,    min_err=,    1.00198e+01
Step 5900,    w=0.39,    min_err=,    1.00198e+01
Step 5950,    w=0.39,    min_err=,    1.00198e+01
Step 6000,    w=0.39,    min_err=,    1.00198e+01
Step 6050,    w=0.38,    min_err=,    1.00198e+01
Step 6100,    w=0.38,    min_err=,    1.00198e+01
Step 6150,    w=0.38,    min_err=,    1.00198e+01
Step 6200,    w=0.37,    min_err=,    1.00198e+01
Step 6250,    w=0.37,    min_err=,    1.00198e+01
Step 6300,    w=0.37,    min_err=,    1.00198e+01
Step 6350,    w=0.37,    min_err=,    1.00198e+01
Step 6400,    w=0.36,    min_err=,    1.00198e+01
Step 6450,    w=0.36,    min_err=,    1.00198e+01
Step 6500,    w=0.36,    min_err=,    1.00198e+01
Step 6550,    w=0.35,    min_err=,    1.00198e+01
Step 6600,    w=0.35,    min_err=,    1.00198e+01
Step 6650,    w=0.35,    min_err=,    1.00198e+01
Step 6700,    w=0.35,    min_err=,    1.00198e+01
Step 6750,    w=0.34,    min_err=,    1.00198e+01
Step 6800,    w=0.34,    min_err=,    1.00198e+01
Step 6850,    w=0.34,    min_err=,    1.00198e+01
Step 6900,    w=0.33,    min_err=,    1.00198e+01
Step 6950,    w=0.33,    min_err=,    1.00198e+01
Step 7000,    w=0.33,    min_err=,    1.00198e+01
Step 7050,    w=0.33,    min_err=,    1.00198e+01
Step 7100,    w=0.32,    min_err=,    1.00198e+01
Step 7150,    w=0.32,    min_err=,    1.00198e+01
Step 7200,    w=0.32,    min_err=,    1.00198e+01
Step 7250,    w=0.31,    min_err=,    1.00198e+01
